# lon,lat,HAE from SKA-TEL-INSA-0000537 rev 11 (only SKA001 - SKA133)
21.449412, -30.713290, 1098.1
21.443214, -30.711544, 1094.4
21.442342, -30.710966, 1093.5
22.221828, -30.280881, 1080.5
20.893386, -30.262241, 968.3
21.112343, -30.260672, 994.0
21.282990, -30.303073, 1006.4
20.596389, -30.308528, 957.8
21.422333, -30.361861, 1026.7
21.481185, -30.437353, 1023.5
22.162269, -30.501569, 1070.8
21.536952, -30.495238, 1029.8
21.576635, -30.560850, 1036.9
21.568196, -30.622317, 1105.0
21.374214, -30.638584, 1059.3
21.325844, -30.643727, 1050.4
21.406331, -30.642963, 1056.3
21.425892, -30.653862, 1062.7
21.276855, -30.658922, 1066.5
21.451767, -30.659316, 1067.1
22.046720, -30.658990, 1138.2
21.573851, -30.669603, 1137.0
21.460885, -30.674468, 1076.8
21.462108, -30.686657, 1082.9
21.230880, -30.686650, 1089.3
21.464027, -30.692349, 1086.3
21.551131, -30.694973, 1165.1
21.430180, -30.700760, 1082.5
21.434492, -30.701264, 1083.8
21.439049, -30.702356, 1085.5
21.421559, -30.702581, 1085.6
21.464587, -30.702805, 1090.7
21.444470, -30.704982, 1089.9
21.413573, -30.706149, 1088.5
21.440989, -30.706517, 1089.7
21.445301, -30.707819, 1092.2
21.462229, -30.708744, 1096.1
21.440591, -30.708913, 1091.3
21.443686, -30.709254, 1093.0
21.435079, -30.708993, 1089.0
21.441639, -30.710689, 1093.1
21.445120, -30.711168, 1095.1
21.439090, -30.711278, 1092.3
21.443764, -30.711281, 1094.4
21.452280, -30.711729, 1096.9
21.444359, -30.711825, 1095.0
21.440543, -30.711918, 1093.5
21.442356, -30.712025, 1094.2
21.443574, -30.712107, 1094.9
21.444438, -30.712193, 1095.3
21.443917, -30.712207, 1095.1
21.442626, -30.712211, 1094.5
21.443323, -30.712317, 1094.9
21.447335, -30.712406, 1096.7
21.441659, -30.712409, 1094.1
21.443668, -30.712428, 1095.2
21.442969, -30.712450, 1094.8
21.442251, -30.712485, 1094.6
21.444228, -30.712544, 1095.4
21.405240, -30.712547, 1093.7
21.445672, -30.712552, 1096.3
21.443280, -30.712597, 1095.1
21.435243, -30.712648, 1091.5
21.442604, -30.712715, 1094.8
21.442939, -30.712722, 1095.0
21.444511, -30.712850, 1095.8
21.445117, -30.712941, 1096.2
21.441913, -30.712950, 1094.9
21.442686, -30.712981, 1095.0
21.458393, -30.712991, 1099.4
21.444106, -30.712991, 1095.9
21.442338, -30.713089, 1095.1
21.443222, -30.713174, 1095.5
21.442917, -30.713281, 1095.6
21.443936, -30.713328, 1095.9
21.444288, -30.713364, 1096.1
21.440038, -30.713405, 1094.2
21.442263, -30.713413, 1095.5
21.443595, -30.713434, 1095.9
21.443255, -30.713481, 1096.0
21.444612, -30.713603, 1096.4
21.444050, -30.713665, 1096.3
21.437757, -30.713717, 1093.2
21.441878, -30.713786, 1095.4
21.442481, -30.713809, 1095.8
21.443404, -30.713858, 1096.2
21.442744, -30.714023, 1096.1
21.443683, -30.714159, 1096.6
21.445795, -30.714161, 1097.6
21.441050, -30.714684, 1095.7
21.443552, -30.714778, 1097.1
21.447484, -30.714879, 1098.7
21.442161, -30.714887, 1096.4
21.444252, -30.715123, 1097.5
21.439897, -30.715681, 1095.8
21.455538, -30.715743, 1101.4
21.443939, -30.716027, 1097.9
21.437642, -30.716174, 1094.3
21.444992, -30.716377, 1098.5
21.449036, -30.717223, 1101.1
21.444662, -30.718358, 1099.9
21.436356, -30.718739, 1094.9
21.440217, -30.719265, 1097.4
21.447266, -30.720233, 1102.2
21.532299, -30.723754, 1142.1
21.432849, -30.720913, 1096.0
21.397500, -30.722426, 1101.1
21.433899, -30.725179, 1099.6
21.437646, -30.729515, 1103.3
21.511124, -30.734790, 1133.4
21.442417, -30.734251, 1109.7
21.183770, -30.728811, 1156.6
21.391708, -30.736333, 1111.0
21.452432, -30.739759, 1119.7
21.493833, -30.736932, 1128.9
21.460272, -30.742016, 1126.3
21.472848, -30.736715, 1120.4
21.394676, -30.752293, 1118.3
21.397161, -30.778551, 1141.1
21.887418, -30.759810, 1196.7
21.412720, -30.801980, 1179.8
21.144820, -30.809841, 1149.5
21.423691, -30.841585, 1207.5
21.804492, -30.844490, 1203.6
21.458958, -30.865290, 1234.1
21.508972, -30.879667, 1361.8
21.697338, -30.883676, 1252.0
21.635612, -30.869177, 1305.8
21.108905, -30.910611, 1201.0
21.077184, -31.041894, 1240.3
21.169521, -31.201255, 1184.3
21.267511, -31.337997, 1136.2
21.499014, -31.519592, 1219.6
