# https://docs.google.com/document/d/1KuUgt05_h7IhXeArFLno2KMq7XKO943JaA1TpT7gHpA
# Targets suitable for single dish pointing in MeerKAT RTS Ku-band (most of these worked well on m028 & s0000 in 2020)
# Entries collected from gaincal_l_5jy.csv sources_pnt_Ku.csv sources_all.csv. Coordinates checked against SIMBAD to 0.2arcsec
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000),   flux polynomial,                                               uncertainty[arcsec] source,     Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment

J0319+4130 | *Per A | Perseus A | NGC 1275 | 3C 84,           radec, 03:19:48.16,  +41:30:42.1,  (400.0 2000.0 1.398),                                           mas        VLBI 2.3/8.4 GHz,   150.58, -13.26,     13,  v=5264,  LIRG; Sy 1.5; FRI; cD  I; X       ok?  strong core & jet inside 10' radio halo; BLLAC;                  

# CAUTION: Asymmetry in Ku-band, centroid poorly defined
J0322-3712 | For A | Fornax A | NGC 1316 | PKS 0320-37,      radec, 03:22:41.79,  -37:12:29.5,  (1200.0 2000.0 2.097),                                          7.5x7.5    LV,240.16,-56.69,   148,  v=1760,  LINER; S0              I; X       no   lobes ~ 1 deg; core low flux density; FRI core FRII lobes   

J0437+2940 | 3C 123,                                         radec, 04:37:04.38,  +29:40:13.8,  (1408.0 23780.0 2.525 0.246 -0.1638),                           mas        VLBI 2.3/8.4 GHz,   170.58, -11.66,     47,  z=0.22,  LERG; FRII             X          ok   <1'                 

J0519-4546 | Pic A | Pictor A | PKS 0518-45,                 radec, 05:19:49.72,  -45:46:43.9,  (635.0 5009.0 -1.265 3.036 -0.653),                             1.25x1.25  MOST,               251.60, -34.63,     69,  z=0.04,  LINER; S0 pec          X          no   ~6'; strong double lobes; FRII                 

J0534+2200 | Tau A | Taurus A | 3C 144 | Crab | PKS 0531+21, radec, 05:34:31.94,  +22:00:52.2,  (1400.0 10000.0 3.915 -0.299),                                  0.5x0.5    opt/psr,            184.56,  -5.78,    930,        ,  SNR; Psr               I; X; Gam  no   ~5' @ 160MHz; single comp           

# CAUTION: Poorly defined centroid
J0535-0523 | Ori A | Orion A | M42 | 3C 145 | PKS 0532-05,   radec, 05:35:17.30,  -05:23:28.0,  (1000.0 10000.0 -0.429874080747 1.64134149914 -0.219515164089), 7.5x7.5    Molonglo 408MHz,    209.01, -19.38,    410,        ,  HII; Cl                X          no   < ~60'?                       

J0522-3627 | PKS 0521-36 | ESO 362-G021,                     radec, 05:22:57.99,  -36:27:30.9,  (1410.0 8400.0 -0.476553541789 1.38252143286 -0.268873301084),  mas        VLBI 2.3/8.4 GHz,   240.61, -32.72,     17,  z=0.06,  E; FRI; BLLAC; Sy 1    I; X; Gam  ok   arcsec scale; core & jet                   

J0538-6904 | J053844-690542 | MC 74,                                          radec, 05:38:44.26,  -69:05:42.4,  (200.0 12000.0 -3.94 3.799 -0.6469),                           50x50       PKS,                279.44, -31.67,     34,        ,  HII                               no   prob ext'd; in 30 Dor                   

J0541-0153 | 3C 147.1 | PKS 0539-01,                         radec, 05:41:42.60,  -01:54:17.0,  (100.0 6000.0 -3.564 3.208 -0.4861),                           12.5x12.5   Molonglo 408 MHz,   206.53, -16.36,     64,        ,  HII                               no   prob ext'd               

J0859-4731 | CTB 31,                                         radec, 08:59:07,   -47:31:24,    (750.0 12000.0 5.569 -0.9902),                                 50x50       PKS90,267.95,-1.06,    250,        ,  SNR                               no   prob ext'd 

J0918-1205 | Hyd A | Hydra A | 3C 218 | PKS 0915-11,         radec, 09:18:05.65,  -12:05:44.0,  (1408.0 10550.0 4.729 -1.025 0.0130),                           10x10      phot,               242.93,  25.09,     43,  z=0.05,  S0; Sy 3; LINER; FRI   X          ok?  tot ext ~7'; main comp ~1.5'; tailed radio src             

J1219+0549 | 3C 270 | NGC 4261 | PKS 1216+06,                radec, 12:19:23.22,  +05:49:29.7,  (20.0 6000.0 1.888 0.369 -0.1855),                              0.5x0.5    SDSS,               281.80,  67.37,     18,  v=2238,  LINER; Sy              X          no   double lobe ~ 7'; FRI                   

J1229+0203 | 3C 273 | PKS 1226+02,                           radec, 12:29:06.70,  +02:03:08.6,  (1410.0 8400.0 10.0465955419 -4.90623613415 0.709890678937),    mas        VLBI 2.3/8.4 GHz,   289.95,  64.36,     45,  z=0.16,  Sy 1.0; ULIRG; blazar  I; X; Gam  ok   compact core and jet of ~25"; circ pol               

J1230+1223 | Vir A | Virgo A | 3C 274 | M87 | PKS 1228+12,   radec, 12:30:49.42,  +12:23:28.0,  (1408.0 10550.0 4.484 -0.603 -0.0280),                          mas        VLBI 2.3/8.4 GHz,   283.78,  74.49,    220,  v=1307,  Sy; LINER; FRI; cD     I; X       ok   < ~1'; core dominated                   

J1256-0547 | 3C 279 | PKS 1253-05,                           radec, 12:56:11.17,  -05:47:21.5,  (1410.0 8400.0 -2.63293588849 2.11780853682 -0.300277548642),   mas        VLBI 2.3/8.4 GHz,   305.10,  57.06,     10,  z=0.54,  blazar                 I; X; Gam  ok   <20"; BLLAC; OVV                     

J1311-2216 | PKS 1308-220 | 3C283, radec gaincal, 13:11:39.34, -22:16:41.2

J1325-4301 | Cen A | Centaurus A | PKS 1322-42 | NGC 5128,   radec, 13:25:27.62,  -43:01:08.8,  (400.0 2000.0 5.08 -0.87),                                      mas        VLBI 2.3/8.4 GHz,   309.52,  19.42,    278,  v= 547,  S0 pec; Sy2            I; X; Gam  no?  core ~ 10"; lobes ~ 9deg                   

J1331+3030 | 3C 286,                                         radec, 13:31:08.29,  +30:30:33.0,  (1408.0 43200.0 0.956 0.584 -0.1644),                           mas        VLBI 2.3/8.4 GHz,    56.52,  80.67,     15,  z=0.85,  DLAS; Sy 1.5; core-do  X          ok   <~5"; primary flux calib (no variab)               

J155656-791403,radec, 15:56:56.26, -79:14:03.1,,CRATES

J1651+0459 | Her A | Hercules A | 3C 348 | PKS 1648+05,      radec, 16:51:08.02,  +04:59:34.9,  (1408.0 10550.0 3.852 -0.361 -0.1053),                          1.25x1.25  2Mass,               23.05,  28.95,     48,  z=0.15,  i.a. E/S0 pair; NLRG   X          no   ~5'; FRI/FRII                     

J1720-0058 | 3C 353 | PKS 1717-00,                           radec, 17:20:28.15,  -00:58:47.1,  (1408.0 10550.0 3.148 -0.157 -0.0911),                          1.25x1.25  2Mass,               21.20,  19.65,     56,  v=9120,  S0; NLRG                          no   ~5'; FRII               

J1819-6345 | PKS 1814-637, radec gaincal, 18:19:35.002381, -63:45:48.18906

PKS 1830-210, radec gaincal, 18:33:39.9150, -21:03:40.050

PKS 1921-293, radec gaincal, 19:24:51.055957, -29:14:30.121150

J193244-453640 | ATPMN J193244.8-453637,radec,19: 32: 44.89,-45: 36: 37.4,,CRATES

J1959+4044 | Cyg A | Cygnus A | 3C 405,                      radec, 19:59:28.36,  +40:44:02.1,  (20.0 2000.0 4.695 0.085 -0.178),                               mas        VLBI,                76.19,   5.76,   1590,  z=0.06,  Sy 2                   I; X       ok   ~3'; double radio src; cD; FRII                 

J2107-2526 | PKS 2104-25 | NGC 7018,                         radec, 21:07:25.7,  -25:25:46,  ,                                                               10.1x10    Molonglo 408 MHz,    21.47, -40.18,     11,  z=0.04,  E pec                             ok   <2'; core & lobes?             

J2123+2504 | 3C 433,                                         radec, 21:23:44.58,  +25:04:27.23,  (20.0 6000.0 2.29 0.1239 -0.1597),                              0.8x0.7    Texas Int 365 MHz,   74.48, -17.69,     11,  z=0.10,  Sy 2; NLRG; FRI                   ok   <2'; edge-darkened appearance                 

J2157-6941 | PKS 2153-69 | ESO 075-G041,                     radec, 21:57:05.98,  -69:41:23.7,  (200.0 12000.0 2.923 -0.1222 -0.1043),                          mas        VLBI 2.3/8.4 GHz,   321.32, -40.65,     30,  v=8476,  S0; Sy 1/2?            I; X       ok   ~4' incl faint comp; FRII           

J2253+1608 | PKS 2251+158 | 3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890

J233828+270126 | 3C 465,radec,23: 38: 29.39,+27: 01: 53.2,,CRATES

J2353-6054 | PKS 2356-61,                                    radec, 23:59:04.36,  -60:54:59.3,  (200.0 12000.0 -3.752 4.341 -0.8574),                           1.25x1.25  Molonglo 408 MHz,    14.02, -55.07,     25,  z=0.96,  Sy 2                              no   ~6'; FRII 2 compact outer lobes                                   

# Added from ATCA DBv3 - flux > 3Jy at 15mm quoted in the flux column below
0003-066 | PKS 0003-066, radec, 0:06:13.89, -6:23:35.3, , , , , 4.4
0106+013 | PKS 0106+013, radec, 1:08:38.77, 1:35:00.3, , , , , 5.5
0208-512 | PKS 0208-512, radec, 2:10:46.20, -51:01:01.9, , , , , 3.2
0402-362 | PKS 0402-362, radec, 4:03:53.75, -36:05:01.9, , , , , 7.6
0420-014 | PKS 0420-014, radec, 4:23:15.80, -1:20:33.1, , , , , 8.4
0426-380 | PKS 0426-380, radec, 4:28:40.42, -37:56:19.6, , , , , 4.5
0430+052 | PKS 0430+052, radec, 4:33:11.10, 5:21:15.6, , , , , 3.0
0438-436 | PKS 0438-436, radec, 4:40:17.18, -43:33:08.6, , , , , 7.2
0454-234 | PKS 0454-234, radec, 4:57:03.18, -23:24:52.0, , , , , 3.9
0458-020 | PKS 0458-020, radec, 5:01:12.81, -1:59:14.3, , , , , 7.6
0537-441 | PKS 0537-441, radec, 5:38:50.36, -44:05:08.9, , , , , 6.0
0607-157 | PKS 0607-157, radec, 6:09:40.95, -15:42:40.7, , , , , 4.4
0723-008 | PKS 0723-008, radec, 7:25:50.64, -0:54:56.5, , , , , 4.4
0727-115 | PKS 0727-115, radec, 7:30:19.11, -11:41:12.6, , , , , 3.4
0851+202 | PKS 0851+202, radec, 8:54:48.88, 20:06:30.6, , , , , 4.6
0903-573 | PKS 0903-573, radec, 9:04:53.18, -57:35:05.8, , , , , 3.5
1055+018 | PKS 1055+018, radec, 10:58:29.61, 1:33:58.8, , , , , 5.8
1057-797 | PKS 1057-797, radec, 10:58:43.31, -80:03:54.2, , , , , 3.3
1127-145 | PKS 1127-145, radec, 11:30:07.05, -14:49:27.4, , , , , 3.3
1156+295 | PKS 1156+295, radec, 11:59:31.83, 5:14:43.8, , , , , 3.8
1424-418 | PKS 1424-418, radec, 14:27:56.30, -42:06:19.4, , , , , 7.6
1510-089 | PKS 1510-089, radec, 15:12:50.53, -9:05:59.8, , , , , 3.5
1613-586 | PKS 1613-586, radec, 16:17:17.89, -58:48:07.9, , , , , 3.2
1641+399 | PKS 1641+399, radec, 16:42:58.81, 15:48:37.0, , , , , 6.9
1730-130 | PKS 1730-130, radec, 17:33:02.71, -13:04:49.5, , , , , 3.9
1741-038 | PKS 1741-038, radec, 17:43:58.86, -3:50:04.6, , , , , 4.1
2134+004 | PKS 2134+004, radec, 21:36:38.59, 0:41:54.2, , , , , 7.3
2145+067 | PKS 2145+067, radec, 21:48:05.46, 6:57:38.6, , , , , 4.4
2155-152 | PKS 2155-152, radec, 21:58:06.28, -15:01:09.3, , , , , 5.4
2223-052 | PKS 2223-052, radec, 22:25:47.26, -4:57:01.4, , , , , 3.4
2230+114 | PKS 2230+114, radec, 22:32:36.41, 11:43:50.9, , , , , 4.1
2255-282 | PKS 2255-282, radec, 22:58:05.96, -27:58:21.3, , , , , 4.4

# These planets yield T_a>0.15K in ~14m dish at 12GHz (i.e. 20sigma if Tsys=130K, BW=700MHz & dT=1sec)
Venus,                                                       special
Jupiter,                                                     special
Saturn,                                                      special
