# Targets suitable for FIRST ORDER single dish pointing in SARAO RTS/DVS UHF - Ku-band (strong but not accurate)
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000),   flux polynomial,                                               uncertainty[arcsec] source,     Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment
J0137+3309 | 3C 48,                                          radec, 01:37:41.30,  +33:09:35.1,  (1408.0 23780.0 2.465 -0.004 -0.1251),                          mas        VLBI 2.3/8.4 GHz,   133.96, -28.72,     16 Jy,  z=0.37,  Sy 1.5                 I; X       ok   <10"; core dominated with faint ext'd em               

J0322-3712 | For A | Fornax A | NGC 1316 | PKS 0320-37,      radec, 03:22:41.79,  -37:12:29.5,  (1200.0 2000.0 2.097),                                          7.5x7.5    LV,                 240.16, -56.69,   ~148 Jy,  v=1760,  LINER; S0              I; X       no   lobes ~ 1 deg; core low flux density; FRI core FRII lobes   

# SKA Dish @ 12.5GHz: in the noise 28/11/2024
#J0358+1026 | 3C 98 | PKS 0356+10,                            radec, 03:58:54.43,  +10:26:03.0,  (400.0 2000.0 3.32 -0.74),                                      1.25x1.25  2Mass,              179.84, -31.05,     10 Jy,  v=9130,  Sy 2; FRII; NLRG                  no   ~5'; double lobes             

J0437+2940 | 3C 123,                                         radec, 04:37:04.38,  +29:40:13.8,  (1408.0 23780.0 2.525 0.246 -0.1638),                           mas        VLBI 2.3/8.4 GHz,   170.58, -11.66,     47 Jy,  z=0.22,  LERG; FRII             X          ok   <1'                 

# SKA Dish @ 12.5GHz: in the noise 28/11/2024
#J0521+1638 | 3C 138 | PKS 0518+16,                           radec, 05:21:09.89,  +16:38:22.1,  (1410.0 8400.0 -1.32934004351 1.91278744917 -0.376296576679),   mas        VLBI 2.3/8.4 GHz,   187.40, -11.34,      9 Jy,  z=0.76,  Sy 1.5; core-dom       X          ok   compact <1"; CSS src; pol; triple-comp; no flux var: flux calib   

J0534+2200 | Tau A | Taurus A | 3C 144 | Crab | PKS 0531+21, radec, 05:34:31.94,  +22:00:52.2,  (1400.0 10000.0 3.915 -0.299),                                  0.5x0.5    opt/psr,            184.56,  -5.78,    930,        ,  SNR; Psr               I; X; Gam  no   ~5' @ 160MHz; single comp           

J0535-0523 | Ori A | Orion A | M42 | 3C 145 | PKS 0532-05,   radec, 05:35:17.30,  -05:23:28.0,  (1000.0 10000.0 -0.429874080747 1.64134149914 -0.219515164089), 7.5x7.5    Molonglo 408MHz,    209.01, -19.38,    410,        ,  HII; Cl                X          no   < ~60'?                       

J0541-0153 | 3C 147.1 | PKS 0539-01,                         radec, 05:41:42.60,  -01:54:17.0,  (100.0 6000.0 -3.564 3.208 -0.4861),                           12.5x12.5   Molonglo 408 MHz,   206.53, -16.36,     64 Jy,        ,  HII                               no   prob ext'd               

# SKA Dish @ 12.5GHz: in the noise 28/11/2024
#J0627-0553 | 3C 161 | PKS 0624-05,                           radec, 06:27:10.12,  -05:53:05.2,  (1408.0 10550.0 1.250 0.726 -0.2286),                           0.4x0.4    PKS90,              215.44,  -8.07,     18 Jy,        ,  --                                ok?  VLA resolved; symm double           

