# Digitised from Results.zip:Comp_ang_B1_Ae.png by R. Lehmensiek 08/08/2019 and normalized to represent D_g=15.3 m.
# f [MHz]	eta_ap [%]
349.9	77.8
355.4	78.0
360.4	77.5
363.5	75.0
370.3	74.3
374.6	75.5
380.2	75.2
383.3	73.4
389.4	72.8
395.0	73.0
404.9	71.8
416.0	73.5
420.3	73.7
430.2	75.3
433.3	75.1
438.3	73.6
445.1	73.4
448.8	74.2
455.6	74.3
459.3	73.5
466.1	74.1
469.8	75.0
474.7	74.9
479.0	74.0
490.2	75.5
495.1	75.3
498.8	74.9
508.7	77.3
519.8	77.6
529.1	79.3
538.4	78.6
546.4	79.2
551.4	79.0
560.0	78.1
564.9	78.4
571.7	78.7
575.5	78.4
584.1	80.2
589.7	80.7
594.0	80.4
603.9	81.2
608.8	81.2
615.0	80.7
624.9	81.0
635.4	80.2
640.3	80.7
646.5	80.6
650.8	80.1
656.4	80.1
659.5	80.3
668.8	80.3
678.7	80.7
684.8	80.3
689.8	80.1
699.1	79.9
710.2	78.6
720.1	78.1
725.0	78.3
737.4	80.4
739.8	81.0
751.0	81.9
755.3	82.2
766.4	82.4
773.8	82.0
791.1	79.2
801.0	77.8
804.7	77.8
810.9	78.0
820.8	78.9
827.0	79.4
829.4	79.7
835.6	79.7
843.7	79.9
850.5	79.7
859.7	78.6
872.7	77.0
877.0	76.6
887.5	75.7
899.3	75.3
906.7	75.4
912.3	75.5
917.2	76.0
923.4	76.6
930.8	76.7
938.8	77.6
945.0	78.0
951.2	78.0
959.2	78.2
966.0	77.9
971.0	77.0
975.3	76.7
982.1	75.4
989.5	74.3
1005.0	72.7
1019.2	72.3
1029.7	71.8
1040.2	70.9
1049.5	70.0
