# Digitised from Results.zip:Comp_ang_B2_Ae.png by R. Lehmensiek 08/08/2019 and normalized to represent D_g=15.3 m.
# f [MHz]	eta_ap [%]
950.0	85.7
956.8	85.8
959.3	86.0
963.6	86.0
969.8	85.9
976.0	86.0
979.1	86.1
984.7	86.0
990.2	85.8
995.8	85.9
997.6	86.0
1009.4	85.7
1019.3	86.0
1029.2	85.9
1039.1	86.4
1046.5	86.4
1049.6	86.4
1055.8	86.8
1060.1	86.8
1065.7	86.7
1069.4	86.7
1073.8	86.8
1080.6	86.9
1086.1	86.6
1089.2	86.6
1096.0	86.8
1105.3	86.7
1110.3	86.3
1121.4	87.2
1127.6	87.6
1128.8	87.6
1133.2	87.3
1135.0	86.9
1138.1	86.9
1143.7	87.1
1156.7	87.3
1164.7	87.0
1169.7	87.2
1175.2	87.2
1180.8	87.0
1191.9	87.2
1200.0	87.2
1209.9	87.5
1220.4	87.3
1230.9	87.5
1238.4	87.3
1246.4	87.4
1257.5	87.3
1261.9	87.4
1265.6	87.6
1269.3	87.6
1277.3	87.6
1284.1	87.9
1293.4	87.8
1303.9	88.0
1315.1	87.8
1323.8	87.9
1333.0	87.7
1337.4	87.8
1341.7	88.0
1353.5	88.0
1361.5	88.3
1364.0	88.4
1370.8	88.4
1379.4	88.7
1385.0	88.8
1392.4	88.7
1400.5	88.9
1409.8	88.7
1417.2	88.9
1430.2	89.0
1440.1	89.3
1448.7	89.3
1455.6	89.4
1459.9	89.5
1464.2	89.4
1470.4	89.4
1476.6	89.4
1482.8	89.3
1487.7	89.2
1492.7	89.3
1505.1	89.2
1515.0	89.2
1524.9	89.2
1533.5	89.2
1543.4	89.0
1552.1	89.0
1559.5	88.7
1569.4	88.6
1576.8	88.3
1581.2	88.1
1589.2	88.2
1599.7	87.9
1610.9	88.0
1619.5	87.9
1623.2	88.0
1629.4	87.9
1639.3	87.6
1646.1	87.6
1651.1	87.4
1659.8	86.9
1665.9	86.9
1672.8	86.8
1677.1	86.6
1683.3	86.8
1693.2	86.7
1697.5	86.4
1707.4	86.3
1715.4	85.8
1725.3	85.6
1735.2	84.8
1745.8	84.4
1757.5	83.4
1759.4	83.2
