# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_H_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Hpol_ND_OFF.csv, spectrum analyser output from same input. 3
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
0.00000000,-84.44335498,-21.19583835
418172.93600391,-84.28475711,-21.03724048
836345.87200782,-84.06804354,-20.82052691
1254518.80801172,-83.86740845,-20.61989182
1672691.74401563,-83.90525988,-20.65774325
2090864.68001954,-83.87096294,-20.62344631
2509037.61602345,-83.84427818,-20.59676155
2927210.55202736,-83.82683584,-20.57931920
3345383.48803127,-83.75934467,-20.51182804
3763556.42403517,-83.73086759,-20.48335096
4181729.36003908,-83.68743898,-20.43992234
4599902.29604299,-83.64946411,-20.40194748
5018075.23204690,-83.62366779,-20.37615116
5436248.16805081,-83.60497387,-20.35745724
5854421.10405471,-83.61465265,-20.36713602
6272594.04005862,-83.63849997,-20.39098334
6690766.97606253,-83.64632147,-20.39880484
7108939.91206644,-83.63427618,-20.38675955
7527112.84807035,-83.64136846,-20.39385183
7945285.78407425,-83.69764347,-20.45012684
8363458.72007816,-83.71198040,-20.46446377
8781631.65608207,-83.71300384,-20.46548721
9199804.59208598,-83.73933792,-20.49182129
9617977.52808989,-83.77923615,-20.53171952
10036150.46409380,-83.77817966,-20.53066303
10454323.40009770,-83.78957208,-20.54205545
10872496.33610161,-83.81815834,-20.57064171
11290669.27210552,-83.82475236,-20.57723572
11708842.20810943,-83.83495167,-20.58743504
12127015.14411334,-83.82904296,-20.58152633
12545188.08011724,-83.83076040,-20.58324376
12963361.01612115,-83.84890495,-20.60138832
13381533.95212506,-83.83716293,-20.58964630
13799706.88812897,-83.83477623,-20.58725959
14217879.82413288,-83.83235576,-20.58483913
14636052.76013678,-83.83265386,-20.58513723
15054225.69614069,-83.83626776,-20.58875113
15472398.63214460,-83.83256618,-20.58504955
15890571.56814851,-83.82730870,-20.57979207
16308744.50415242,-83.85593370,-20.60841706
16726917.44015633,-83.81258660,-20.56506997
17145090.37616023,-83.83486395,-20.58734732
17563263.31216414,-83.80949815,-20.56198152
17981436.24816805,-83.82960368,-20.58208705
