# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_V_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Vpol_ND_OFF.csv, spectrum analyser output from same input, with ~413MHz corrected manually.
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
0.00000000,-69.64187253,-6.30087674
418172.93600391,-69.65489754,-6.31390175
836345.87200782,-69.65455847,-6.31356268
1254518.80801172,-69.68737949,-6.34638370
1672691.74401563,-69.64466614,-6.30367035
2090864.68001954,-69.66015044,-6.31915465
2509037.61602345,-69.65562736,-6.31463157
2927210.55202736,-69.69037549,-6.34937971
3345383.48803127,-69.62862136,-6.28762557
3763556.42403517,-69.64422025,-6.30322446
4181729.36003908,-69.62839623,-6.28740044
4599902.29604299,-69.67339400,-6.33239821
5018075.23204690,-69.62495814,-6.28396235
5436248.16805081,-69.62331529,-6.28231950
5854421.10405471,-69.63542935,-6.29443356
6272594.04005862,-69.65820383,-6.31720804
6690766.97606253,-69.61324157,-6.27224578
7108939.91206644,-69.61794128,-6.27694549
7527112.84807035,-69.60865766,-6.26766187
7945285.78407425,-69.65960836,-6.31861257
8363458.72007816,-69.61366571,-6.27266992
8781631.65608207,-69.60805766,-6.26706187
9199804.59208598,-69.60283558,-6.26183979
9617977.52808989,-69.65319845,-6.31220266
10036150.46409380,-69.60848196,-6.26748617
10454323.40009770,-69.61643924,-6.27544345
10872496.33610161,-69.62606770,-6.28507191
11290669.27210552,-69.64581953,-6.30482374
11708842.20810943,-69.60563135,-6.26463556
12127015.14411334,-69.60560750,-6.26461171
12545188.08011724,-69.61224278,-6.27124699
12963361.01612115,-69.64877696,-6.30778117
13381533.95212506,-69.60871468,-6.26771889
13799706.88812897,-69.60564857,-6.26465279
14217879.82413288,-69.59903923,-6.25804344
14636052.76013678,-69.65511198,-6.31411620
15054225.69614069,-69.60761418,-6.26661840
15472398.63214460,-69.62041171,-6.27941593
15890571.56814851,-69.61603874,-6.27504295
16308744.50415242,-69.64730635,-6.30631057
16726917.44015633,-69.60702295,-6.26602716
17145090.37616023,-69.61123559,-6.27023981
17563263.31216414,-69.60255484,-6.26155905
17981436.24816805,-69.65638546,-6.31538967
18399609.18417196,-69.61005885,-6.26906306
18817782.12017587,-69.61547225,-6.27447646
19235955.05617977,-69.60669025,-6.26569446
19654127.99218368,-69.65893555,-6.31793976
20072300.92818759,-69.60829699,-6.26730120
20490473.86419150,-69.61029165,-6.26929587
20908646.80019541,-69.60484761,-6.26385182
21326819.73619932,-69.64258546,-6.30158968
21744992.67220322,-69.59531560,-6.25431981
22163165.60820713,-69.60267534,-6.26167955
22581338.54421104,-69.61328205,-6.27228627
22999511.48021495,-69.64542768,-6.30443189
23417684.41621885,-69.61230515,-6.27130937
23835857.35222276,-69.61049794,-6.26950215
24254030.28822667,-69.61438598,-6.27339019
24672203.22423058,-69.64051647,-6.29952068
25090376.16023449,-69.60787602,-6.26688024
25508549.09623840,-69.59071623,-6.24972044
25926722.03224231,-69.60924580,-6.26825001
26344894.96824621,-69.65030094,-6.30930515
26763067.90425012,-69.59897770,-6.25798192
27181240.84025403,-69.60615679,-6.26516100
27599413.77625794,-69.60096743,-6.25997164
28017586.71226184,-69.63835099,-6.29735521
28435759.64826575,-69.58820125,-6.24720546
28853932.58426966,-69.59074792,-6.24975213
29272105.52027357,-69.58337868,-6.24238290
29690278.45627748,-69.62521570,-6.28421991
30108451.39228139,-69.57015075,-6.22915496
30526624.32828530,-69.57369039,-6.23269461
30944797.26428920,-69.55856715,-6.21757136
31362970.20029311,-69.59012003,-6.24912424
31781143.13629702,-69.54247301,-6.20147722
32199316.07230093,-69.53066138,-6.18966559
32617489.00830483,-69.51714677,-6.17615099
33035661.94430874,-69.54530598,-6.20431019
33453834.88031265,-69.50110358,-6.16010779
33872007.81631656,-69.46231058,-6.12131479
34290180.75232047,-69.45083104,-6.10983525
34708353.68832438,-69.48276532,-6.14176954
35126526.62432829,-69.41933043,-6.07833465
35544699.56033219,-69.38117860,-6.04018281
35962872.49633610,-69.35593668,-6.01494090
36381045.43234001,-69.35803589,-6.01704010
36799218.36834392,-69.29608068,-5.95508490
37217391.30434783,-69.25348724,-5.91249146
37635564.24035174,-69.20665288,-5.86565710
38053737.17635565,-69.18270480,-5.84170901
38471910.11235955,-69.11329235,-5.77229656
38890083.04836345,-69.04771196,-5.70671617
39308255.98436736,-68.97331919,-5.63232340
39726428.92037127,-68.94291224,-5.60191645
40144601.85637518,-68.83849473,-5.49749895
40562774.79237909,-68.76387289,-5.42287710
40980947.72838300,-68.67375023,-5.33275444
41399120.66438691,-68.61626972,-5.27527393
41817293.60039081,-68.47624725,-5.13525146
42235466.53639472,-68.37540806,-5.03441227
42653639.47239863,-68.26940625,-4.92841046
43071812.40840254,-68.17519316,-4.83419737
43489985.34440645,-68.02898005,-4.68798426
43908158.28041036,-67.89047918,-4.54948339
44326331.21641427,-67.75317515,-4.41217937
44744504.15241817,-67.63156077,-4.29056499
45162677.08842208,-67.44708530,-4.10608952
45580850.02442599,-67.28982631,-3.94883052
45999022.96042990,-67.12236070,-3.78136491
46417195.89643381,-66.97456872,-3.63357293
46835368.83243771,-66.78257773,-3.44158194
47253541.76844162,-66.59461920,-3.25362341
47671714.70444553,-66.40251753,-3.06152174
48089887.64044943,-66.23023749,-2.88924170
48508060.57645334,-66.00903432,-2.66803853
48926233.51245725,-65.82904333,-2.48804754
49344406.44846116,-65.61139934,-2.27040355
49762579.38446507,-65.41954559,-2.07854980
50180752.32046898,-65.18663784,-1.84564205
50598925.25647289,-64.97094046,-1.62994467
51017098.19247679,-64.74925073,-1.40825495
51435271.12848070,-64.54480795,-1.20381216
51853444.06448461,-64.30572540,-0.96472961
52271617.00048852,-64.08243276,-0.74143697
52689789.93649243,-63.85218608,-0.51119029
53107962.87249634,-63.63853921,-0.29754343
53526135.80850025,-63.39981194,-0.05881615
53944308.74450415,-63.16524126,0.17575453
54362481.68050806,-62.93301270,0.40798309
54780654.61651197,-62.72040403,0.62059176
55198827.55251587,-62.47397581,0.86701998
55617000.48851978,-62.25359140,1.08740438
56035173.42452369,-62.01628402,1.32471177
56453346.36052760,-61.79342289,1.54757290
